start_time,end_time,funding_rate
2020-10-16 23:00:00.000000,2020-10-17 00:00:00.000000,0.00006534085898227356909780403916
2020-10-16 22:00:00.000000,2020-10-16 23:00:00.000000,0.00004952725987452505080851815852
2020-10-16 21:00:00.000000,2020-10-16 22:00:00.000000,0.00004198601646163377290025665988
2020-10-16 20:00:00.000000,2020-10-16 21:00:00.000000,0.00005724484399788471708090957166
2020-10-16 19:00:00.000000,2020-10-16 20:00:00.000000,0.00005718939860878753191864048604
2020-10-16 18:00:00.000000,2020-10-16 19:00:00.000000,0.00003450952717007762879322512350
2020-10-16 17:00:00.000000,2020-10-16 18:00:00.000000,0.00002079033253947252359530740055
2020-10-16 16:00:00.000000,2020-10-16 17:00:00.000000,0.00001453051850543238229838353502
2020-10-16 15:00:00.000000,2020-10-16 16:00:00.000000,0.00004938325991189427312775330396
2020-10-16 14:00:00.000000,2020-10-16 15:00:00.000000,0.00002743043325114476928495949278
2020-10-16 13:00:00.000000,2020-10-16 14:00:00.000000,0.00003443358859255347240559809876
2020-10-16 12:00:00.000000,2020-10-16 13:00:00.000000,0.00002750794772165312610385022960
2020-10-16 11:00:00.000000,2020-10-16 12:00:00.000000,0.00002758101646892155126615902249
2020-10-16 10:00:00.000000,2020-10-16 11:00:00.000000,0.00001460275188637372392365734576
2020-10-16 09:00:00.000000,2020-10-16 10:00:00.000000,0.00002751523716986131967140711951
2020-10-16 08:00:00.000000,2020-10-16 09:00:00.000000,0.00004188592618753310965919124139
2020-10-16 07:00:00.000000,2020-10-16 08:00:00.000000,0.00003452475509663754302356367487
2020-10-16 06:00:00.000000,2020-10-16 07:00:00.000000,0.00003452170843628662195552417932
2020-10-16 05:00:00.000000,2020-10-16 06:00:00.000000,0.00003456135701033660217333686721
2020-10-16 04:00:00.000000,2020-10-16 05:00:00.000000,0.00005645371577574967405475880052
2020-10-16 03:00:00.000000,2020-10-16 04:00:00.000000,0.00004864184674130000867829558275
2020-10-16 02:00:00.000000,2020-10-16 03:00:00.000000,0.00004114127135547654149683461972
2020-10-16 01:00:00.000000,2020-10-16 02:00:00.000000,0.00004128089105464671075530804038
2020-10-16 00:00:00.000000,2020-10-16 01:00:00.000000,0.00003403514877327301200626413781
2020-10-15 23:00:00.000000,2020-10-16 00:00:00.000000,0.00004125576137055396121401861031
2020-10-15 22:00:00.000000,2020-10-15 23:00:00.000000,-0.001018073546031470051290967574
2020-10-15 21:00:00.000000,2020-10-15 22:00:00.000000,0.00004109138155045474231268947596
2020-10-15 20:00:00.000000,2020-10-15 21:00:00.000000,0.00004873065553816727525647713441
2020-10-15 19:00:00.000000,2020-10-15 20:00:00.000000,0.00005663091812712529427151451739
2020-10-15 18:00:00.000000,2020-10-15 19:00:00.000000,0.00005682911890804094846443258378
2020-10-15 17:00:00.000000,2020-10-15 18:00:00.000000,0.00002067181196281354148395018418
2020-10-15 16:00:00.000000,2020-10-15 17:00:00.000000,0.00004163594874495348428997718097
2020-10-15 15:00:00.000000,2020-10-15 16:00:00.000000,0.00004167984536988227025127394131
2020-10-15 14:00:00.000000,2020-10-15 15:00:00.000000,0.00003437005798629414865577227201
2020-10-15 13:00:00.000000,2020-10-15 14:00:00.000000,0.00002744493392070484581497797357
2020-10-15 12:00:00.000000,2020-10-15 13:00:00.000000,0.00002081236203090507726269315673
2020-10-15 11:00:00.000000,2020-10-15 12:00:00.000000,0.00001453051850543238229838353502
2020-10-15 10:00:00.000000,2020-10-15 11:00:00.000000,-0.001020155449567214273096626038
2020-10-15 09:00:00.000000,2020-10-15 10:00:00.000000,0.00003441541303774082871470044867
2020-10-15 08:00:00.000000,2020-10-15 09:00:00.000000,0.00004921415400825357801387303539
2020-10-15 07:00:00.000000,2020-10-15 08:00:00.000000,0.00004917529391121249341989822776
2020-10-15 06:00:00.000000,2020-10-15 07:00:00.000000,0.00002734375
2020-10-15 05:00:00.000000,2020-10-15 06:00:00.000000,0.00004166154386581189075261262844
2020-10-15 04:00:00.000000,2020-10-15 05:00:00.000000,0.00004171649665845937390080900457
2020-10-15 03:00:00.000000,2020-10-15 04:00:00.000000,0.00003436401967673928320449754041
2020-10-15 02:00:00.000000,2020-10-15 03:00:00.000000,0.00004165422776363157432610413557
2020-10-15 01:00:00.000000,2020-10-15 02:00:00.000000,0.00005695869508024204156800841884
2020-10-15 00:00:00.000000,2020-10-15 01:00:00.000000,0.00004915804244869321171724258902
2020-10-14 23:00:00.000000,2020-10-15 00:00:00.000000,0.00006504828797190517998244073749
2020-10-14 22:00:00.000000,2020-10-14 23:00:00.000000,0.00006505971197752019669827889006
2020-10-14 21:00:00.000000,2020-10-14 22:00:00.000000,0.00005713908683029823172340987068
2020-10-14 20:00:00.000000,2020-10-14 21:00:00.000000,0.00007352656153642850850145361642
2020-10-14 19:00:00.000000,2020-10-14 20:00:00.000000,0.00004947479918792479477447259246
2020-10-14 18:00:00.000000,2020-10-14 19:00:00.000000,0.00004943552654789204445228435350
2020-10-14 17:00:00.000000,2020-10-14 18:00:00.000000,0.00004183421516754850088183421517
2020-10-14 16:00:00.000000,2020-10-14 17:00:00.000000,0.00004924442101563872781584958707
2020-10-14 15:00:00.000000,2020-10-14 16:00:00.000000,0.000003634139949331702629509915262
2020-10-14 14:00:00.000000,2020-10-14 15:00:00.000000,0.00006471872816212438853948287911
2020-10-14 13:00:00.000000,2020-10-14 14:00:00.000000,0.00003434290229128259151962075323
2020-10-14 12:00:00.000000,2020-10-14 13:00:00.000000,0.00003433084686265906099166301009
