start_time,end_time,funding_rate
2020-10-16 23:00:00.000000,2020-10-17 00:00:00.000000,0.00002511602511602511524560156386
2020-10-16 22:00:00.000000,2020-10-16 23:00:00.000000,0.00002515723270440251650534488159
2020-10-16 21:00:00.000000,2020-10-16 22:00:00.000000,0.00002514348182563542107596771690
2020-10-16 20:00:00.000000,2020-10-16 21:00:00.000000,0.00003591836734693877551020408163
2020-10-16 19:00:00.000000,2020-10-16 20:00:00.000000,0.00002495253593707621449329397988
2020-10-16 18:00:00.000000,2020-10-16 19:00:00.000000,0.00001497005988023952188453934039
2020-10-16 17:00:00.000000,2020-10-16 18:00:00.000000,0.00001498637602179836512261580381
2020-10-16 16:00:00.000000,2020-10-16 17:00:00.000000,0.00001499454743729552843383787317
2020-10-16 15:00:00.000000,2020-10-16 16:00:00.000000,0.00002496607869742198100407055631
2020-10-16 14:00:00.000000,2020-10-16 15:00:00.000000,0.00001491323210412147459451241916
2020-10-16 13:00:00.000000,2020-10-16 14:00:00.000000,0.000006231373611487401404267049281
2020-10-16 12:00:00.000000,2020-10-16 13:00:00.000000,0.00001503142935228204520845896119
2020-10-16 11:00:00.000000,2020-10-16 12:00:00.000000,0.00001505611825896523358563304867
2020-10-16 10:00:00.000000,2020-10-16 11:00:00.000000,0.00002520547945205479452054794521
2020-10-16 09:00:00.000000,2020-10-16 10:00:00.000000,0.00002490525175961018020108246628
2020-10-16 08:00:00.000000,2020-10-16 09:00:00.000000,0.00002487831260140616473003334573
2020-10-16 07:00:00.000000,2020-10-16 08:00:00.000000,0.00001486888348202216906752978833
2020-10-16 06:00:00.000000,2020-10-16 07:00:00.000000,0.000006207827260458839406207827260
2020-10-16 05:00:00.000000,2020-10-16 06:00:00.000000,0.00001488095238095238003692185147
2020-10-16 04:00:00.000000,2020-10-16 05:00:00.000000,0.00002435150873478030630798146591
2020-10-16 03:00:00.000000,2020-10-16 04:00:00.000000,0.00002428081287938770269749740489
2020-10-16 02:00:00.000000,2020-10-16 03:00:00.000000,0.00002426160337552742688771755428
2020-10-16 01:00:00.000000,2020-10-16 02:00:00.000000,0.00001458112407211028675972478425
2020-10-16 00:00:00.000000,2020-10-16 01:00:00.000000,0.00002439024390243902512535782092
2020-10-15 23:00:00.000000,2020-10-16 00:00:00.000000,0.00002434506483196613007023732991
2020-10-15 22:00:00.000000,2020-10-15 23:00:00.000000,0.00002433862433862433862433862434
2020-10-15 21:00:00.000000,2020-10-15 22:00:00.000000,0.00003476428759547010902086961348
2020-10-15 20:00:00.000000,2020-10-15 21:00:00.000000,0.00002436440677966101548203794505
2020-10-15 19:00:00.000000,2020-10-15 20:00:00.000000,0.00001456953642384105960264900662
2020-10-15 18:00:00.000000,2020-10-15 19:00:00.000000,0.00002440318302387267904509283820
2020-10-15 17:00:00.000000,2020-10-15 18:00:00.000000,0.00001463155094440010729631006003
2020-10-15 16:00:00.000000,2020-10-15 17:00:00.000000,0.00001461988304093567295642963072
2020-10-15 15:00:00.000000,2020-10-15 16:00:00.000000,0.00002448762310354005929835518604
2020-10-15 14:00:00.000000,2020-10-15 15:00:00.000000,0.00001465103889184869561301559987
2020-10-15 13:00:00.000000,2020-10-15 14:00:00.000000,0.00001470981545867879201514437174
2020-10-15 12:00:00.000000,2020-10-15 13:00:00.000000,0.00001474530831099195710455764075
2020-10-15 11:00:00.000000,2020-10-15 12:00:00.000000,0.00001475717735444056927225565525
2020-10-15 10:00:00.000000,2020-10-15 11:00:00.000000,0.00001474135620477083801881631163
2020-10-15 09:00:00.000000,2020-10-15 10:00:00.000000,0.00001458885941644562334217506631
2020-10-15 08:00:00.000000,2020-10-15 09:00:00.000000,0.00002430005282620179463148644359
2020-10-15 07:00:00.000000,2020-10-15 08:00:00.000000,0.00002428722280887011542736600893
2020-10-15 06:00:00.000000,2020-10-15 07:00:00.000000,0.00003495762711864406569161966029
2020-10-15 05:00:00.000000,2020-10-15 06:00:00.000000,0.00002441613588110403323360051016
2020-10-15 04:00:00.000000,2020-10-15 05:00:00.000000,0.00002444208289054197809710048414
2020-10-15 03:00:00.000000,2020-10-15 04:00:00.000000,0.00001458885941644562334217506631
2020-10-15 02:00:00.000000,2020-10-15 03:00:00.000000,0.00001456567796610169403817485845
2020-10-15 01:00:00.000000,2020-10-15 02:00:00.000000,0.00002432575356953992669632945492
2020-10-15 00:00:00.000000,2020-10-15 01:00:00.000000,0.00003490216816499206873821182663
2020-10-14 23:00:00.000000,2020-10-15 00:00:00.000000,0.00003505976095617529880478087649
2020-10-14 22:00:00.000000,2020-10-14 23:00:00.000000,0.00003504114680116803928423604193
2020-10-14 21:00:00.000000,2020-10-14 22:00:00.000000,0.00002449414270500532333085110392
2020-10-14 20:00:00.000000,2020-10-14 21:00:00.000000,0.00002446808510638297872340425532
2020-10-14 19:00:00.000000,2020-10-14 20:00:00.000000,0.00002454642475987193095234647590
2020-10-14 18:00:00.000000,2020-10-14 19:00:00.000000,0.00002454642475987193095234647590
2020-10-14 17:00:00.000000,2020-10-14 18:00:00.000000,0.00001462377027386333333553299761
2020-10-14 16:00:00.000000,2020-10-14 17:00:00.000000,0.00002423603793466807020267728573
2020-10-14 15:00:00.000000,2020-10-14 16:00:00.000000,0.00002402088772845953002610966057
2020-10-14 14:00:00.000000,2020-10-14 15:00:00.000000,0.00002402088772845953002610966057
2020-10-14 13:00:00.000000,2020-10-14 14:00:00.000000,0.00002417235943247503796737829525
2020-10-14 12:00:00.000000,2020-10-14 13:00:00.000000,0.00002419779063650710224907161949
